franchise,player,pos,current_type,proposed_type,confidence,current_contractInfo,proposed_contractInfo,proposed_contractInfo_note,mapping_note,drafted
Blake Bombers,"Heidenreich, Eli",RB,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),5.10
Blake Bombers,"Hendrickson, Trey",DE,Veteran,Vet-FAA,confirmed,CL 2| TCV 6K| AAV 3K,CL 2| TCV 6K| AAV 3K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),"Auction $3,000 (2025)"
Blake Bombers,"Henley, Daiyan",LB,Veteran,Vet-FAA,confirmed,CL 2| TCV 4K| AAV 2K,CL 2| TCV 4K| AAV 2K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),"Auction $2,000 (2025)"
Blake Bombers,"Hunter, Jarquez",RB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,3.06 (2025)
Blake Bombers,"Jefferson, Justin",LB,R,Rookie-Draft,confirmed,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K","CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),6.10
Blake Bombers,"Judkins, Quinshon",RB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 24K| AAV 8K | Option Eligible,CL 3| TCV 24K| AAV 8K | Option Eligible,BACKFILL: multi-year missing Y-schedule,Traded rookie — origin assumed Draft; confirm via event chain.,Trade (2025)
Blake Bombers,"McLaurin, Terry",WR,Veteran,Vet-FAA,confirmed,CL 3| TCV 57K| AAV 19K,CL 3| TCV 57K| AAV 19K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),"Auction $19,000 (2025)"
Blake Bombers,"Nacua, Puka",WR,EXT2,Vet-Ext2,confirmed,"CL 2|TCV 44K|AAV 22K|Y1-22K, Y2-22K|Ext: Bomb|GTD: 33K","CL 2|TCV 44K|AAV 22K|Y1-22K, Y2-22K|Ext: Bomb|GTD: 33K",(numbers unchanged — type only),confirmed,Trade (2023)
Blake Bombers,"Purdy, Brock",QB,FL,Vet-FAA-FL,confirmed,"CL 3| TCV 84K| AAV 28K| Y1-40K, Y2-22K, Y3-22K|","CL 3| TCV 84K| AAV 28K| Y1-40K, Y2-22K, Y3-22K|",(numbers unchanged — type only),confirmed (FL review),"Auction $28,000 (2025)"
Blake Bombers,"Raridon, Eli",TE,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),3.01
Blake Bombers,"Reed, Jayden",WR,EXT1,Vet-Ext1,confirmed,CL 1|TCV 15K|AAV 15K|Y1-15K|Ext: Bomb|GTD: 11.3K,CL 1|TCV 15K|AAV 15K|Y1-15K|Ext: Bomb|GTD: 11.3K,(numbers unchanged — type only),confirmed,Trade (2024)
Blake Bombers,"Shaheed, Rashid",WR,Veteran,Vet-FAA?,low,"CL 3| TCV 21K| AAV 7K| Y1-7K, Y2-7K, Y3-7K","CL 3| TCV 21K| AAV 7K| Y1-7K, Y2-7K, Y3-7K",(numbers unchanged — type only),Traded vet — origin (FAA/WW/ERA) needs event chain; defaulted FAA.,Trade (2025)
Blake Bombers,"Simpson, Ty",QB,R,Rookie-Draft,confirmed,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),2.04
Blake Bombers,"Strange, Brenton",TE,Veteran,Vet-FAA?,low,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Traded vet — origin (FAA/WW/ERA) needs event chain; defaulted FAA.,Trade (2025)
Blake Bombers,"Tuten, Bhayshul",RB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,2.12 (2025)
Blake Bombers,"Walker, Quay",LB,Veteran,Vet-MYM,confirmed,CL 2| TCV 2K| AAV 1K,CL 2| TCV 2K| AAV 1K,BACKFILL: multi-year missing Y-schedule,WW pickup post-contract-deadline = MYM,"BB $1,000 (2025)"
Blake Bombers,"Ward, Cam",QB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 30K| AAV 10K | Option Eligible,CL 3| TCV 30K| AAV 10K | Option Eligible,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),1.06 (2025)
Blake Bombers,"Watts, Xavier",S,Rookie,Rookie-MYM,confirmed,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,WW post-contract-deadline (last Sun before Wk1) = MYM,"BB $1,000 (2025)"
Blake Bombers,"Wilson, Emanuel",RB,Vet-ERA,Vet-ERA,confirmed,CL 1| TCV 2K| AAV 2K,CL 1| TCV 2K| AAV 2K,(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"Auction $2,000"
C-Town Chivalry,"Ayomanor, Elic",WR,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,3.10 (2025)
C-Town Chivalry,"Bowers, Brock",TE,Rookie,Rookie-Draft,confirmed,CL 3| TCV 27K| AAV 9K,CL 3| TCV 27K| AAV 9K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),1.07 (2024)
C-Town Chivalry,"Branch, Brian",S,Vet-ERA,Vet-ERA,confirmed,CL 1| TCV 4K| AAV 4K,CL 1| TCV 4K| AAV 4K,(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"Auction $4,000"
C-Town Chivalry,"Cook, James",RB,Veteran,Vet-Ext2,confirmed,"CL 3| TCV 61K| AAV 27K| Y1-7, Y2-27, Y3-27| Ext: CBP","CL 3| TCV 61K| AAV 27K| Y1-7, Y2-27, Y3-27| Ext: CBP",(numbers unchanged — type only),Has Ext: token but non-EXT status — reclassify as extension.,Trade (2024)
C-Town Chivalry,"Daniels, Jayden",QB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 36K| AAV 12K,CL 3| TCV 36K| AAV 12K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),1.04 (2024)
C-Town Chivalry,"Davis, Isaiah",RB,Veteran,Vet-FAA?,low,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,Traded vet — origin (FAA/WW/ERA) needs event chain; defaulted FAA.,Trade (2025)
C-Town Chivalry,"Davis, Ray",RB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,3.09 (2024)
C-Town Chivalry,"Downs, Caleb",S,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),4.09
C-Town Chivalry,"Golday, Jake",LB,R,Rookie-Draft,confirmed,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K","CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),6.09
C-Town Chivalry,"Hall, Breece",RB,Veteran,Vet-Ext2,confirmed,"CL 2| TCV 70K| AAV 35K| Y1-35K, Y2-35K| Ext: Blake","CL 2| TCV 70K| AAV 35K| Y1-35K, Y2-35K| Ext: Blake",(numbers unchanged — type only),Has Ext: token but non-EXT status — reclassify as extension.,Trade (2025)
C-Town Chivalry,"Higgins, Tee",WR,Veteran,Vet-Ext1,confirmed,"CL 2| TCV 48K| AAV 47K| Y1-24, Y2-24| Ext: Mafia, LH, C-Town","CL 2| TCV 48K| AAV 47K| Y1-24, Y2-24| Ext: Mafia, LH, C-Town",(numbers unchanged — type only),corrected — 1yr extension; RESTRUCTURE (add restructure:<year>),Trade (2024)
C-Town Chivalry,"LaPorta, Sam",TE,EXT2-BL,Vet-Ext2-BL,confirmed,"CL 2|TCV 50K|AAV 25K|Y1-10K, Y2-40K|Ext: CTwn|GTD: 37.5K","CL 2|TCV 50K|AAV 25K|Y1-10K, Y2-40K|Ext: CTwn|GTD: 37.5K",(numbers unchanged — type only),confirmed (EXT2-BL review),2.09 (2023)
C-Town Chivalry,"Lake, Quentin",S,Veteran,Vet-MYM,confirmed,"CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1","CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1",(numbers unchanged — type only),WW pickup post-contract-deadline = MYM,"BB $1,000 (2024)"
C-Town Chivalry,"London, Drake",WR,BL,Vet-Ext2-BL,confirmed,"CL 2| TCV 66K| AAV 33K| Y1-14, Y2-52| Ext: PG","CL 2| TCV 66K| AAV 33K| Y1-14, Y2-52| Ext: PG",(numbers unchanged — type only),confirmed (BL review 2026-05-31),Trade (2024)
C-Town Chivalry,"McKinney, Xavier",S,Veteran,Vet-FAA,confirmed,"CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1","CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"Auction $1,000 (2024)"
C-Town Chivalry,"Milroe, Jalen",QB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,2.06 (2025)
C-Town Chivalry,"Pickens, George",WR,TAG,Tag,confirmed,CL 1| TCV 51K| AAV 51K| GTD 38.3K| Tag| Tier 1| Formula: Avg Top 1-6 WR AAV,CL 1| TCV 51K| AAV 51K| GTD 38.3K| Tag| Tier 1| Formula: Avg Top 1-6 WR AAV,(numbers unchanged — type only),Tag/TAG case-merge.,1.07 (2022)
C-Town Chivalry,"Pollard, Tony",RB,Veteran,Vet-Ext1,confirmed,"CL 2| TCV 54K| AAV 27K| Y1-27K, Y2-27K| Ext: C-Town","CL 2| TCV 54K| AAV 27K| Y1-27K, Y2-27K| Ext: C-Town",(numbers unchanged — type only),corrected — 1yr extension,"Auction $17,000 (2024)"
C-Town Chivalry,"Smith-Njigba, Jaxon",WR,FL,Vet-Ext2-FL,confirmed,"CL 3| TCV 70K| AAV 30K| Y1-14K, Y2-1K, Y3-55K| Ext: C-Town","CL 3| TCV 70K| AAV 30K| Y1-14K, Y2-1K, Y3-55K| Ext: C-Town",(numbers unchanged — type only),confirmed — RESTRUCTURE (2yr ext '25 then restructured); add restructure:<year>,Trade (2024)
C-Town Chivalry,"Stutsman, Danny",LB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,6.12 (2025)
C-Town Chivalry,"Tagovailoa, Tua",QB,FL,Vet-Ext2-FL,confirmed,CL 3| TCV 116K| AAV 49K| Y1-86 Y2-15 Y3-15| Ext: C-Town,CL 3| TCV 116K| AAV 49K| Y1-86 Y2-15 Y3-15| Ext: C-Town,(numbers unchanged — type only),confirmed,Trade (2023)
C-Town Chivalry,"Taylor, Tory",PN,Rookie,Rookie-Draft,confirmed,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),6.11 (2024)
C-Town Chivalry,"Tracy, Tyrone",RB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Traded rookie — origin assumed Draft; confirm via event chain.,Trade (2025)
C-Town Chivalry,"Wright, Jaylen",RB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,Trade (2024)
CBP,"Coleman, Jonah",RB,R,Rookie-Draft,confirmed,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),2.01
CBP,"Collins, Nico",WR,BL,Vet-Ext2-BL,confirmed,"CL 3| TCV 110K| AAV 42K|Y1-16K, Y2-47K, Y3-47K|  Ext: C-Town, CBP","CL 3| TCV 110K| AAV 42K|Y1-16K, Y2-47K, Y3-47K|  Ext: C-Town, CBP",(numbers unchanged — type only),confirmed,Trade (2024)
CBP,"Egbuka, Emeka",WR,Rookie,Rookie-Draft,confirmed,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),2.01 (2025)
CBP,"Elliott, Keyshaun",LB,R,Rookie-Draft,confirmed,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K","CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),6.02
CBP,"Gabriel, Dillon",QB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,Trade (2025)
CBP,"Howard, Will",QB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,5.01 (2025)
CBP,"Hurst, Ted",WR,R,Rookie-Draft,confirmed,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),2.08
CBP,"Klubnik, Cade",QB,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),4.03
CBP,"Kmet, Cole",TE,FL,Vet-FAA-FL,confirmed,"CL 3| TCV 27K| AAV 9K| Y1-20, Y2-1, Y3-6","CL 3| TCV 27K| AAV 9K| Y1-20, Y2-1, Y3-6",(numbers unchanged — type only),confirmed,Trade (2025)
CBP,"Love, Jordan",QB,Veteran,Vet-Ext2,confirmed,"CL 3| TCV 43K| AAV 21K| Y1-1, Y2-21, Y3-21| Ext: PG","CL 3| TCV 43K| AAV 21K| Y1-1, Y2-21, Y3-21| Ext: PG",(numbers unchanged — type only),Has Ext: token but non-EXT status — reclassify as extension.,Trade (2024)
CBP,"Mitchell, Keaton",RB,Veteran,Vet-FAA?,low,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,Traded vet — origin (FAA/WW/ERA) needs event chain; defaulted FAA.,Trade (2025)
CBP,"Pearsall, Ricky",WR,Rookie,Rookie-Draft,confirmed,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,Traded rookie — origin assumed Draft; confirm via event chain.,Trade (2025)
CBP,"Rattler, Spencer",QB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Traded rookie — origin assumed Draft; confirm via event chain.,Trade (2025)
CBP,"Sadiq, Kenyon",TE,R,Rookie-Draft,confirmed,"CL 3|TCV 24K|AAV 8K|Y1-8K, Y2-8K, Y3-8K|GTD: 18K|Keep Option as Y4Option =13K","CL 3|TCV 24K|AAV 8K|Y1-8K, Y2-8K, Y3-8K, Y4-13K Option|GTD: 18K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),1.08
CBP,"Shough, Tyler",QB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,2.09 (2025)
CBP,"Stowers, Eli",TE,R,Rookie-Draft,confirmed,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K|Keep Option as Y4Option =10K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K, Y4-10K Option|GTD: 11.3K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),1.12
CBP,"Verse, Jared",DE,Rookie,Rookie-Draft,confirmed,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),6.02 (2024)
CBP,"Wilson, Garrett",WR,BL,Vet-Ext2-BL,confirmed,"CL 2| TCV 68K| AAV 34K| Y1-24, Y2-44| Ext: CBP","CL 2| TCV 68K| AAV 34K| Y1-24, Y2-44| Ext: CBP",(numbers unchanged — type only),confirmed,Trade (2023)
CBP,"Wilson, Roman",WR,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,3.05 (2024)
Cleon Ca$h,"Arroyo, Elijah",TE,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,3.08 (2025)
Cleon Ca$h,"Branch, Zachariah",WR,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),4.10
Cleon Ca$h,"Dart, Jaxson",QB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 27K| AAV 9K | Option Eligible,CL 3| TCV 27K| AAV 9K | Option Eligible,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),1.07 (2025)
Cleon Ca$h,"Green, Taylen",QB,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),4.11
Cleon Ca$h,"Harris, Tre",WR,(blank),Rookie-Draft,confirmed,,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,2.07 (2025)
Cleon Ca$h,"Herbert, Justin",QB,FL,Vet-FAA-FL,confirmed,"CL 3| TCV 153K| AAV 51K| Y1-61, Y2-51, Y3-41","CL 3| TCV 153K| AAV 51K| Y1-61, Y2-51, Y3-41",(numbers unchanged — type only),confirmed,"Auction $51,000 (2025)"
Cleon Ca$h,"Jacas, Gabe",DE,R,Rookie-Draft,confirmed,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K","CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),6.11
Cleon Ca$h,"Jeudy, Jerry",WR,FL,Vet-FAA-FL,confirmed,"CL 3| TCV 9K| AAV 3K| Y1-7, Y2-1, Y3-1","CL 3| TCV 9K| AAV 3K| Y1-7, Y2-1, Y3-1",(numbers unchanged — type only),confirmed,"Auction $3,000 (2024)"
Cleon Ca$h,"Kraft, Tucker",TE,EXT1,Vet-Ext1,confirmed,CL 1|TCV 12K|AAV 12K|Y1-12K|Ext: Cash|GTD: 9K,CL 1|TCV 12K|AAV 12K|Y1-12K|Ext: Cash|GTD: 9K,(numbers unchanged — type only),confirmed,5.01 (2023)
Cleon Ca$h,"Lamb, CeeDee",WR,Veteran,Vet-Ext2,confirmed,"CL 3| TCV 172K| AAV 64K| Y1- 44K Y2- 64K Y3- 64K| Ext: L.A. Looks, Cleon","CL 3| TCV 172K| AAV 64K| Y1- 44K Y2- 64K Y3- 64K| Ext: L.A. Looks, Cleon",(numbers unchanged — type only),Has Ext: token but non-EXT status — reclassify as extension.,Trade (2024)
Cleon Ca$h,"Love, Jeremiyah",RB,R,Rookie-Draft,confirmed,"CL 3|TCV 45K|AAV 15K|Y1-15K, Y2-15K, Y3-15K|GTD: 33.8K|Keep Option as Y4Option =20K","CL 3|TCV 45K|AAV 15K|Y1-15K, Y2-15K, Y3-15K, Y4-20K Option|GTD: 33.8K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),1.01
Cleon Ca$h,"Loveland, Colston",TE,Rookie,Rookie-Draft,confirmed,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),2.03 (2025)
Cleon Ca$h,"McCarthy, J.J.",QB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 33K| AAV 11K,CL 3| TCV 33K| AAV 11K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),1.05 (2024)
Cleon Ca$h,"McMillan, Jalen",WR,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,4.08 (2024)
Cleon Ca$h,"Miller, Jam",RB,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),5.12
Cleon Ca$h,"Nabers, Malik",WR,Rookie,Rookie-Draft,confirmed,CL 3| TCV 39K| AAV 13K,CL 3| TCV 39K| AAV 13K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),1.03 (2024)
Cleon Ca$h,"Reese, Arvell",LB,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),3.07
Cleon Ca$h,"Robinson, Bijan",RB,EXT2,Vet-Ext2,confirmed,"CL 2|TCV 70K|AAV 35K|Y1-35K, Y2-35K|Ext: Cash|GTD: 52.5K","CL 2|TCV 70K|AAV 35K|Y1-35K, Y2-35K|Ext: Cash|GTD: 52.5K",(numbers unchanged — type only),confirmed,1.01 (2023)
Cleon Ca$h,"Robinson, Wan'Dale",WR,Veteran,Vet-Ext1,confirmed,"CL 2| TCV 34K| AAV 22K| Y1-12K, Y2-22K| Ext: Blake, LH","CL 2| TCV 34K| AAV 22K| Y1-12K, Y2-22K| Ext: Blake, LH",(numbers unchanged — type only),corrected — 1yr extension,Trade (2025)
